\!	-\thinmuskip
\makeheadline	Debug
\mapsto	MChar
\mapstochar	MChar
\mathhexbox#1#2#3	Debug
\mathpalette	Math
\mathstrut	Math
\matrix	Math
\max	MathOp
\maxdimen	Dimen
\medbreak	Glue
\medskip	Glue
\medskipamount	Glue
\mid	MChar(|)
\midinsert{stuff}\endinsert	Insertion
\min	MathOp
\mit	MFont
\models	MChar(|=)
\mp	MChar(∓)
\mscount	Count
\mu	MChar
\multispan	Align
\nabla	MChar(∇)
\narrower	Insertion
\natural	MChar(♮)
\ne	MChar(≠)
\nearrow	MChar
\neg	MChar(¬)
\negthinspace	Kern
\neq	MChar(≠)
\newbox	Box
\newcount	Count
\newdimen	Dimen
\newfam	Font
\newhelp\cs{help msg}	Debug
\newif\iffoo	Debug
\newinsert	Insert
\newlanguage	Debug
\newmuskip	Glue
\newread	IO
\newskip	Glue
\newtoks	Token
\newwrite	IO
\ni	MChar(∋)
\nobreak	Typeset
\nointerlineskip	Typeset
\nonfrenchspacing	Typeset
\nopagenumbers	Typeset
\normalbaselines	Typeset
\normalbaselineskip	Glue
\normalbottom	Typeset
\normallineskip	Glue
\normallineskiplimit	Dimen
\not	MChar
\notin	MathRel
\nu	MChar
\null	Typeset
\nwarrow	MChar
\o	Char(ø)
\oalign	Char
\obeylines	Typeset
\obeyspaces	Typeset
\odot	MChar(⊙)
\oe	Char(œ)
\offinterlineskip	Typeset
\oint	MChar(∮)
\ointop	MChar
\oldstyle	MFont
\omega	MChar
\ominus	MChar
\ooalign	Char
\openup	Align
\oplus	MChar
\oslash	MChar
\otimes	MChar
\over	MathRel
\overbrace
\overleftarrow
\overrightarrow
\owns	MChar(∋)
\pagebody	Debug
\pagecontents	Debug
\pageinsert{stuff}\endinsert	Insertion
\pageno	Count
\parallel	MChar(||)
\partial	MChar(∂)
\perp	MChar
\phantom	Math
\phi	MChar
\pi	MChar
\plainoutput	Debug
\pm	MChar(±)
\pmatrix	Math
\pmod	Math
\prec	MChar
\preceq	MChar
\prime	MChar(')
\proclaim {prop}. {text}\par	Insertion
\prod	MChar(∏)
\propto	MChar
\psi	MChar
\qquad	Kern
\quad	Kern
\raggedbottom	Typeset
\raggedright	Typeset
\rangle	Delimiter
\rbrace	Delimiter
\rbrack	]
\rceil	Delimiter
\relbar	MChar
\removelastskip	Typeset
\repeat	\loop
\rfloor	Delimiter
\rgroup	Delimiter
\rho	MChar
\rhook	MChar
\rightarrow	MChar(<-)
\rightarrowfill	Insertion
\rightharpoondown	MChar
\rightharpoonup	MChar
\rightleftharpoons	MathRel
\rightline{stuff}	Insertion
\rlap{stuff}	Typeset
\rm	Font
\rmoustache	Delimiter
\root {} \of {}	Math
\rootbox	Box
\rq	'
\sb	_
\searrow	MChar
\sec	MathOp
\setminus	MChar
\settabs	Align
\sharp	MChar(♯)
\showhyphens	Debug
\sigma	MChar
\sim	MChar(～)
\simeq	MChar
\sin	MathOp
\sinh	MathOp
\skew#1#2#3	MChar
\sl	Font
\slash	Char(/)
\slfam	Font
\smallbreak	Glue
\smallint	MChar
\smallskip	Glue
\smallskipamount	Glue
\smash	Math
\smile	MChar
\sp	^
\space	Char( )
\spadesuit	MChar(♣)
\sqcap	MChar
\sqcup	MChar
\sqrt	Math
\sqsubseteq	MChar
\sqsupseteq	MChar
\ss	Char(ß)
\star	MChar(★)
\strut	Typeset
\strutbox	Box
\subset	MChar(⊂)
\subseteq	MChar(⊆)
\succ	MChar
\succeq	MChar
\sum	MChar(∑)
\sup	MathOp
\supereject	Typeset
\supset	MChar(⊃)
\supseteq	MChar(⊇)
\surd	MChar(√)
\swarrow	MChar
\t	Accent
\tabalign	Align
\tabs	Box
\tan	MathOp
\tanh	MathOp
\tau	MChar
\textindent{text}	Insertion
\theta	MChar
\thinspace	Kern
\tilde	Accent
\times	MChar(×)
\to	MChar(->)
\top	MChar(⊤)
\topglue	Glue
\topins	Insert
\topinsert{stuff}\endinsert	Insertion
\tracingall	Debug
\triangle	MChar(△)
\triangleleft	MChar
\triangleright	MChar
\tt	Font
\ttfam	Font
\ttraggedright	Typeset
\u	Accent(ŏ)
\underbar
\underbrace
\uparrow	Delimiter
\upbracefill	Insertion
\updownarrow	Delimiter
\uplus	MChar
\upsilon	MChar
\v	Accent(ǒ)
\varepsilon	MChar
\varphi	MChar
\varpi	MChar
\varrho	MChar
\varsigma	MChar
\vartheta	MChar
\vdash	MChar(├)
\vdots	MChar
\vec	Accent
\vee	MChar(∨)
\vert	Delimiter
\vfootnote{text}	Insertion
\vglue{glue}	Glue
\vphantom	Math
\wedge	MChar(∧)
\widehat	Accent
\widetilde	Accent
\wlog	Debug
\wp	MChar
\wr	MChar
\xi	MChar
\zeta	MChar
\{
\|
\}
\~	Accent(õ)
